L'an	none
mil	MarriageYear
huit	MarriageYear
cent	MarriageYear
dix-huit	MarriageYear
le	none
dix-huit	MarriageDay
janvier	MarriageMonth
Elyahou	SelfGivenName
Osalle	SelfSurname
fils	none
de	none
Jibran	FatherGivenName
Osalle	FatherSurname
et	none
de	none
feu	none
Ketlyn	MotherGivenName
Rotter	MotherSurname
demeurant	none
à	none
Chenonceaux	none
âgé	none
de	none
vingt	SelfAge
et	SelfAge
un	SelfAge
ans	none
a	none
contracté	none
mariage	none
selon	none
la	none
forme	none
du	none
st	none
concile	none
de	none
trente	none
et	none
lesdits	none
Royaux	none
avec	none
Constant	SpouseGivenName
Widemann	SpouseSurname
fille	none
de	none
Leni	SpouseFatherGivenName
Widemann	SpouseFatherSurname
et	none
de	none
Jouwayriya	SpouseMotherGivenName
Hancky	SpouseMotherSurname
demeurant	none
à	none
Meyenheim	none
agée	none
de	none
quarante-cinq	SpouseAge
ans	none
en	none
présence	none
de	none
Mailye	OtherPerson
Roltz	OtherPerson
Bettan	OtherPerson
Hessen	OtherPerson
Kouros	OtherPerson
Couche	OtherPerson
Gaëtan	OtherPerson
Otier	OtherPerson
tous	none
soussigné	none
avec	none
ledit	none
Yannaëlle	OtherPerson
Chaisout	OtherPerson
et	none
ladite	none
Ilhame	OtherPerson
Pesquet	OtherPerson
