L'an	none
mil	OtherYear
neuf	OtherYear
cent	OtherYear
vingt	OtherYear
trois	OtherYear
le	none
quatre	OtherDay
juin	OtherMonth
à	none
une	none
heure	none
du	none
matin	none
pardevant	none
nous	none
Lynsay	OtherPerson
Veyry	OtherPerson
maire	none
et	none
officier	none
de	none
l'État	none
civil	none
de	none
la	none
Commune	none
de	none
Maffrécourt	none
chef	none
lieu	none
du	none
canton	none
Département	none
de	none
la	none
Loire-Atlantique	none
est	none
comparu	none
Mona	OtherPerson
Demier	OtherPerson
sage	none
femme	none
âgée	none
de	none
quatre	none
vingt	none
onze	none
ans	none
laquelle	none
nous	none
a	none
présenté	none
un	none
enfant	none
du	none
sexe	none
masculin	SelfGender
qu'elle	none
déclare	none
être	none
né	none
dans	none
la	none
maison	none
d'	none
Anne-Camille	OtherPerson
Mouvais	OtherPerson
à	none
Ébaty	none
le	none
présent	none
jour	none
vingt	BirthDay
huit	BirthDay
du	none
mois	none
de	none
mars	BirthMonth
à	none
une	none
heure	none
après-midi	none
de	none
Haitem	FatherGivenName
Guillianmé	FatherSurname
garçon	none
tailleur	none
âgé	none
de	none
soixante	FatherAge
deux	FatherAge
ans	none
domicilié	none
à	none
Breuilaufa	none
et	none
de	none
Bérangère	MotherGivenName
Louisgrand	MotherSurname
mendiant	none
âgée	none
de	none
vingt-quatre	MotherAge
ans	none
domicilié	none
dans	none
la	none
commune	none
dudit	none
Maffrécourt	none
et	none
auquel	none
elle	none
a	none
déclaré	none
vouloir	none
donner	none
les	none
prénoms	none
de	none
Gurkan	SelfGivenName
lesquelles	none
présentation	none
et	none
déclaration	none
faites	none
en	none
présence	none
d'	none
Ethan	OtherPerson
Jeanennot	OtherPerson
fabricant	none
de	none
chemises	none
âgé	none
de	none
soixante	none
cinq	none
ans	none
et	none
de	none
Dorothe	OtherPerson
Leval	OtherPerson
âgé	none
de	none
vingt	none
huit	none
ans	none
les	none
deux	none
domiciliés	none
à	none
Hattenville	none
témoins	none
choisis	none
par	none
la	none
déclarant	none
et	none
ont	none
lesdites	none
déclarant	none
et	none
témoins	none
signé	none
avec	none
nous	none
le	none
présent	none
acte	none
de	none
naissance	none
après	none
qu'il	none
leur	none
en	none
a	none
été	none
fait	none
lecture	none
